date,resolution_cm,alignedDate
6/22/17,18,NA
1/6/18,14,1/1/15
6/27/19,18,NA
7/31/20,14,1/6/18
9/6/21,18,31/07/2020
7/21/22,20,6/9/21
3/17/23,15,21/07/2022
6/19/23,14,21/07/2022
10/12/23,7,6/19/23
10/31/23,7.17,6/19/23
